college_code,college_name,branch_code,branch_name,category,cutoff_rank,location,district,college_type
E001,RV College of Engineering,CS,Computer Science,GM,245,Bangalore,Bangalore Urban,Private
E001,RV College of Engineering,CS,Computer Science,OBC,892,Bangalore,Bangalore Urban,Private
E001,RV College of Engineering,CS,Computer Science,SC,2341,Bangalore,Bangalore Urban,Private
E001,RV College of Engineering,CS,Computer Science,ST,3456,Bangalore,Bangalore Urban,Private
E001,RV College of Engineering,EC,Electronics,GM,1205,Bangalore,Bangalore Urban,Private
E001,RV College of Engineering,EC,Electronics,OBC,2341,Bangalore,Bangalore Urban,Private
E001,RV College of Engineering,ME,Mechanical,GM,3456,Bangalore,Bangalore Urban,Private
E001,RV College of Engineering,CV,Civil,GM,4521,Bangalore,Bangalore Urban,Private
E001,RV College of Engineering,IS,Information Science,GM,892,Bangalore,Bangalore Urban,Private
E002,BMS College of Engineering,CS,Computer Science,GM,521,Bangalore,Bangalore Urban,Private
E002,BMS College of Engineering,CS,Computer Science,OBC,1234,Bangalore,Bangalore Urban,Private
E002,BMS College of Engineering,CS,Computer Science,SC,3421,Bangalore,Bangalore Urban,Private
E002,BMS College of Engineering,EC,Electronics,GM,1892,Bangalore,Bangalore Urban,Private
E002,BMS College of Engineering,ME,Mechanical,GM,4231,Bangalore,Bangalore Urban,Private
E002,BMS College of Engineering,IS,Information Science,GM,1123,Bangalore,Bangalore Urban,Private
E003,MSRIT,CS,Computer Science,GM,892,Bangalore,Bangalore Urban,Private
E003,MSRIT,CS,Computer Science,OBC,2341,Bangalore,Bangalore Urban,Private
E003,MSRIT,EC,Electronics,GM,2134,Bangalore,Bangalore Urban,Private
E003,MSRIT,ME,Mechanical,GM,5234,Bangalore,Bangalore Urban,Private
E003,MSRIT,IS,Information Science,GM,1892,Bangalore,Bangalore Urban,Private
E004,PES University,CS,Computer Science,GM,312,Bangalore,Bangalore Urban,Private
E004,PES University,CS,Computer Science,OBC,1021,Bangalore,Bangalore Urban,Private
E004,PES University,EC,Electronics,GM,1523,Bangalore,Bangalore Urban,Private
E004,PES University,IS,Information Science,GM,723,Bangalore,Bangalore Urban,Private
E005,Dayananda Sagar College,CS,Computer Science,GM,12341,Bangalore,Bangalore Urban,Private
E005,Dayananda Sagar College,CS,Computer Science,OBC,24521,Bangalore,Bangalore Urban,Private
E005,Dayananda Sagar College,CS,Computer Science,SC,45000,Bangalore,Bangalore Urban,Private
E005,Dayananda Sagar College,EC,Electronics,GM,18892,Bangalore,Bangalore Urban,Private
